review	rating
أفشل مطعم بحياتي ممكن شوفه من الإدارة و الأراجيل و المعاملة و الموسيقى و لو في صفر كنت حاطيت صفر بدل ال ١ .... أرجيلة ما بتنشرب و ٣ كابتشينو من بعد ساعة و نص و طلبنا الحساب لإجووو .... حرام هيك مطعم يكون في هيك إدارة	1
ان ادارة هذا المطعم هي ادارة محترفة و ذات مهنية عاليه . بحيث انها تتلقف شكاوي الزبائن في حال وجدت و تتعامل معها بكل جدية و اهتمام و تعمل على حلها لكي يرضى الزبون يشعر بالرضى و القبول.	5
  كان السرفيس exellent واطيب الرجيلة في الكورة الاردية راس blueberry راس ananas موخيفة اي لوف ية😙😙😙😙😙😗😗😗😗😗😗😚😚😚😚😚😚😚😚❤❤❤❤❤❤🌍🌍🌍🌍😁	5
أكتر من رائع والاكل عجيب والسيرڤس اكتير قوي وجدا عجيييييييب والحلو والمشاوي وجميع المؤكولات لذيذه ولا اروع وكل يوم السهره من عشيه فيه حبيتو اكتير وحتى السوشي ولا اروع  ونانسي احسن سرڤيس أتمنى تكون المديره بالمكان من خدمتها الحلوه. ووجها البشوش	5
انا بحب هالمطعم لانو قعدتو حلوة و اكلو طيب ، الاكل طيب بكل انواعو، و خاصة انا حبيت البيتزا الايطالية يلي بيعملوها شكرا كتير للشيف و بتمنالكن الازدهار و التوفيق	5
مابيردوا على الإتصالات، ممكن تتصل لمدة ساعة و نص و ما حدا يرد ، مش اول مرة بتصير معي. ممكن تكون عازم حدا و يفشلوك لسبب غير معروف، كنت زبون و هلق الحمدالله بطلت.	1
عوده مميزه ...اداره اكثر من رائعة بقياده السيد البير ...عنوان للذوق ...تميزية المذاق ...خدمه رائعة ...بالتوفيق والتقدم الدائم ❤️❤️❤️❤️❤️❤️❤️❤️	5
صحن يومي مميز وشهي ومتنوع لناحية الوجبات الشهية والصحية.... كما تتميز الشاورما بطعم رائع ومميز........ ويمكن بالاضافة للطعام شراء اغراض للمنزل.......	5
الطرطور في الشاورما فاسد اشعرني بالغثيان طعمه جدا مقزز لا يطاق اسوء طبق شاورما في لبنان حتى انني لم اتمكن من بلع لقمة واحدة تدني في مستوى الطهي لا ادري استهتار من الادارة ام سوء تخزين 🤢🤢🤢🤢🤢	1
من اسوء المطاعم في بيروت رحنا نعمل عيد ميلاد صاحبنا بهالمطعم و كنا ٥ اشخاص و اخدين معنا ٥ قطع كاتو سواريه gluten free لأن صاحبنا عنده حساسية من القمح و ما بيسوا ياكل شو ما كان المهم بالأول طلبنا اراغيل لبعد شي ٢٠ دقيقة توصلو .. رجعنا طلبنا من menu مشروبات و خبريات لبعد نصف ساعة بالضبط لنزلت الطلبية و يا ريت كانت صح، بتطلب بارد بينزلك سخن و اكتر من مرة يشيل و يحط مش عارف الطلبية الصح عدا عن الموظفين ما عندهم خبرة لا بالاكل و لا بالخدمة و تيجي لعندك لازم يكون عندك واسطة تيقرّب ع طاولتك. منوصل للكاتو، منقللو عمول معروف بدنا ه صحون كرمال نقدر ناكل الكاتو، فبغيييييب اكتر من ٢٠ دقيقة و بيجي بخبرنا بدو ٥٠٠٠ ليرة خدمة عكل صحن! هيدا غير الفاتورة الكلها غلط بغلط ، شايل اشيا و زايد اشيا يعني بالمختصر المفيد اسوء مطعم ببيروت و حرام هيك موقع حلو بهيك مطعم اقل من المستوى	1
كان معا حق الماما ما في أطيب من عروس لبنة بل بيت	1
إجمالا" ما بحب روح نفس المطعم أكثر من مرتين بس ما بلاقي متل أستقبال bay rock على المدخل،منظر و لا أروع، أكل طيب،خدمة توب و أسعار أرخص من غيره ...كل ما بيجي مغترب ضروري يمرق بهيدا المطعم و على مسؤوليتي 	5
من كم يوم رحت على هيدا المطعم ، كنت متغدية لهيك طلبت أيس كابوتشينو و كريب مع شوكولا و اركيلة، كتير حبيت القعدة ، المنظر لحالو بيرد الروح، و الكراسين كتير لايقين	5
التقيم لاي شي متكامل فلا جدوى من موقع و اطلاله جيده و خدمه جيده بدون طعام جيد لقد تناولت عده مرات الفطور سابقا فيه و لكن للاسف دوما اجد ان الطعام قديم و لاسيما الفول حيث تستطيع معرفه ذلك ايضا من منظر الخضروات و طعم الاكل لذا لا انصح به لا المنظر تستطيع مشاهدته من الطريق العام دون سداد ثمن طعام قديم و ينتهي بك الى المرض	5
أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع أسرع	3
  هذا المطعم هادئ، طعامه لذيذ، يقدم أصنافاً غربية وشرقية لذيذة، الموظفون لبقون جداً... المكان ضيق نوعا ما، لكنه هادئ وطعامه لذيذ	4
يرحب بالزبون ، السوشي ولا اطيب ، بوفيه مفتوح ، كأنك في بيتك وليس بالمطعم ، يا ريت الكل بكونوا هيك ، الجو عامةً لذيذ ، لي ما جرب بعد شو ناطر يلا قوم وتلذذ بالاكل	5
كنا امبارح . المكان مقبول . الاكل محدود جدا و غير لذيذ . الارز ليس ارز اورينتال. و اللحم ليس لحم لكن بلاستيك . الصوص لا دخل له باي صوص اسيوي لا من قريب او من بعيد . العمال مهضومين كتير لكن دون اي نوع من الخبره . صاحب المحل ليس له دخل في الاتيكيت . كان معنا ولاد اول مره بفوتوا عمحل من هذا النوع . لقد سكبوا صحن واحد بكلفة ٢٠$ . و الاحسن من هذا انه بده يشررج عالصحن يللي لم ياكل. نحن اتينا من الخارج و في المره الاولى اشعر هذه المعامله في لبنان او خارجه. كان يرافقنا اجانب و كانوا الاولاد يترجمون لهم ما حصل .و لم يصدقوا . بعد ان زاروا معنا عدة مطاعم ف لبنان من مستوى اعلى و من مستوى اقل بكثير كلفة و اناقه . لكن اول مره نعامل بهذه الطريقه . صاحب المحل اجبر احد العاملين ان يقف وراء طاولتنا و بصوت عالي يامر العامل ان يحصى عددنا. اف اف اف . لم ارى معامله كهذه مع الزبائن ق اي بلد لا في العالم الاول ولا في العالم الثالث	1
مطعم مميز ولديه عجينة رائعة وشهية ومذاقها لذيذ جدا..... خدمة مميزة.............. واسعار مدروسة وتتناسب مع الجميع....... مطعم نظيف جدا...........	4
اتصلت بهم اليوم لأطلب الصحن اليومي واخترت "الغمة" كانت الساعة ١:٣٠ وطلبتان تأتي الطلبية ٢:١٥. اتت الطلبية ٢:٣٥ ولم تكن غمة بل كانت "كبة" اتصلت لأبلغهم ذلك فسمعت ضحكات مجموعة من الموظفين وأقفل الخط.  احسن حظي كان موظف التوصيل ما ذال موجود فرددت الطلبية معه وعاد عند ٣:١٥ مع الغمة. كل هذا ولم اسمع منهم اي اعتذار أو تفسير. النتيجة خسروا زبونا	1
مة جيدة / الأسعار جيدة / الجو  العام جيد / قائمة الطعام واسعة /  الممرات بين الطاولات مريحة /   جودة  الطعام مقبولة / زيارتنا الأولى للمطعم كانت خلال ليلة فيروزيات	3
أفضل مطعم في المنطقة: من حيث النظافة والخدمة والطعام	5
اكرم من هالمطعم ما وجدت. لما بيقولوا كل شيء مفتوح يعنوها بكل ما للكلمة من معنى. اطلب قدر ما تشاء وهم يلبون طلبك ولا يملون من اسعادك بالاصناف التي تحبها. المهم ان تنتهي وانت راض. خدمه سريعه ومميزة. استقبال جميل. طعم رائع.	4
مطعم وقهوة مميزة....... يتمتع بجلسة جميلة واطباق لذيذة خاصة لناحية الكعك الشهي الذي يقدم مع مختلف انواع الطعام............ .... ارجيله جيدة.................... . صحن يومي مميز وشهي جدا.............	4
المطعم يطل على مناظر جميلة من جهتين / صعب الوصول اليه من المرة الأولى / لائحة الطعام متنوعة وغنية / الطعام متوسط النكهة / الخدمة سيئة للغاية / الأسعار عالية بعض الشيء	2
مطعم جدا رائع والاكل ولا اطيب والخدمة من الشباب وخاصة السيد مارسيل شي كتير رائعة 	5
اسوأ محل ممكن انو واحد يجربو ... اول شي لازم ينعمل training للموظفين كيف يحكو مع العالم . تاني شي بس واحد يفوت لعندكن عالمطعم ما بتجو بتقولولو لازم يطلع حسابك 50$ و طلوووووع هيدا الشي عيب و بس نسأل عن السبب يخبرنا الشب انو جايبين موظفين اكسترا بدنا ندفعلن nowayyyyyyyyyyyyyyyyy	1
 بتطلب شاورما و علبة بطاطا بتوصل الشاورما بلا البطاطا بتدفع حق الشاورما والبطاطا بتتصل فيهم بتقلك يالله حنبعتلك بتوصل البطاطا بعد ٤٠ دقيقة بردانة…	1
يا عيب شوم على هيك customer service متل كأنو الواحد عام يشحد من عندكن مافي أبداً ترتيب بالتعامل مع زبون ولا حتى نبرة ولا اخلاق بالحكي كلو تدفيش بتدفيش وديليفري مش عرف حالو إذا بلبنان أو بكوالالمبور 20 مكالمة لا يستدل عل عنوان وبالأخر بضل ساعة ونص لا يجي الأكل متلج ومتل كأنك عام تاكل خشب صراحة حرام على هيك محل يكون عندو هيك customer service وهيك معامله لازم توظف ناس ترفع من قيمة المحل مش تبهدلو قدام ناس راقبو اتصالاتكٌم وشوفو كيف عام يتعاملو موظفينكن مع الناس وكمان شغله بيجي ديليفري معو طلبية حامل بجيبتو000 100 مندون صرافة ما معو غيرا وكان إلو ساعة ونص على طريق  It was a very bad 	1
أطيب لقمة عند poule d'or وأحلا قعدة ونضافة وترتيب واحلا خدمة الله يوفقكن يا رب أطيب شاورما وفروج ومشاوي وسندويشات وارتب صالة فروج ني بلبنان  بيلبقلكن لانكن ولا مرة عاملتونا انو زبونات عطول بنحس المطعم النا	2
شكراً علا الأستقبال الممتاز والطعام الذيذ  والخدمه الممتازه والسرعه في الخدمه  وبالتوفيق لمطعم بيت ورد والعاملين في بيت ورد علا الأخلاق الحميده والجيده مع الزبائن وأتمنى لكم المزيد من التطور  إلى الامام	5
الاكل كثير طيب البيتزا روعة والكنافة اطيب بكثير من اي مكان آخر لانها سبيسيال ، الموظفين برحبوا بالزبون وهيك مفروض ، ديكور المحل حلو موديرن وبدون عجقة ديكورات بلا طعمة . لي بعد ما جرب لازم يجرب	5
مطعم ومقهى جيد عائلي جوه محترم  إدارة حاضرة إستقبال ودود خدمة جيدة طعام لذيذ أسعار عالية بعض الشيء الكراسي غير مريحة لائحة الطعام غنية والكمية جيدة	4
شاورما لحمة من اطيب ما اكلت للصراحة بحياتي سندويش طعمتو مدروسة بكل كدشة طعمة قاسية ما بتنتسى وحجمها منيح وما فيك الا ما تاكل ٢ لانها عنجد طيبة 👍	5
خدمة ضعيفة جداً وتأخّرٌ في تسليم الطلبات.طاقم عمل ينقصه الخبرة في خدمة الزبائن أما بالنسبة لنوعيّة الطعام فلا بأس بها.يجب عليهم إعادة النظر بالأسعار	1
كتير مهضوم المطعم و أكلو طيب في لبناني و أجنبي،خدمتو حلوة ... جربوا متل ما جربتو رح تحبوا 😊..................................................	5
  المكان مريح جدا والاكل بيجنن  والمعاملة رائعة جدا واهم شي للي بيحبو الاركيلة  وانا اكيد راح كون عاطول بهل المطرح الرائع  بنصح فيه اكيد وما راح تندمو ❤😘😘😘😘	5
كنت من فترة مع رفقاتي عندكن، قهوتكن كتير طيبة و الحلويات يمييييي شو طيبة بس مشكلة اذا الواحد عامل ريجيم عن جد مشكلة ، بتمنالكن التوفيق و الى الامام	5
اللحمة قاسية	3
شِمّ و دوقْ بِأحلا سعر بالسوق 😉 . . . . . . .. . . . . .. .. . . . . . .. . . . . . . . . . . .. . . . . . . . . .. . . . . . .. . . . . . .	5
ليون أسرع دلفري وأطيب أكل🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🇦🇲🇱🇧	5
 فعلاً مش كل بيت دار و مش كل دار " دار القمر "   عن تجربة شخصية جربت الاكل بالدار وجربت ال catering طلبات المناسبات الخارجية كلشي كان كامل و الشباب مهزبين والعدة جيدة و بتحفظ البرودة و السخونة ويلي حبيتو اكتر الخدمة السريعة و الجلسة الممتعة و الشيشة الطيبة ،  اصحاب المطعم من اهل الكرم وهيدا شي واضح من كمية الاكل والحلويات و الفواكهة يلي بتنزل .  انا شخصيا ما بغير عن الدار و مبارك صالة crystal في القلمون رائع العرس فيا  وصدق يلي قال يلي بدوق بيعرف	5
كنت واصل ع زحلة وحبيت اتغدى باللاتور .. كان غدا كتير طيب وفريش بس كان في خلل بسيط بالنت بس هيدا ما بيعني انو اللاتور هوي رقم واحد بالأكل والشرب والأركيلة .. والخدمة كانت بتجنن ..عنجد شي ببيض الوش شكرا	5
محل كتير حلو واكل طيب واطلاله بتجنن وقعدي مريحه انا كتير انبسطت في هيك محل وهيك اطلاله بعاليه الاولى واكل بلايات كتير كتير طيبي بس لموسيقا شوي تعباني بتقطش كتير وشي مولع وشي بدا تندرس اكتر وشكرا	5
كل شيء جميل في المطعم . يختلف هذا الفرع عن باقي الفروع بالتصميم الحجري القديم وبالاطلالة المميزة على البحر عندما تزور بيروت ولا تتوجه الى قريدس الروشة ستكون قد خسرت الكثير من المتعة	5
مطعم محترم , السمك المقلي في غاية الروعة والقريدس بكل انواعه طيب مع كل زيارة للبنان مطعم قريدس هو الوجهة الاولى دائما , اتمنى فتح فروع خارج لبنان	5
مطعم رائع بحب دايما زوره في العطلات القريدس عنده مختلف عن باقي الاماكن الاولاد بيحبو كتير القريدس البانيه مع البطاطا قريب كتير من وجبات شرمبي بنصح الكل بزيارته .. فرع الروشة مختلف عن باقي الفروع	5
 مطعم جميل احب زيارته باستمرار الخدمة المتميزة والاهتمام بالزوار من اهم اولوياته انصح الجميع بزيارته والتمتع بالماكولات البحرية اللذيذة احب تناول القريدس المكسيكي هناك باستمرار بالنكهة الحارة والقريدس المقرمش ذو النكهة الفريدة	5
افضل محل وجبات سريعة زرتو ببيروت كلها شكرا للمحل ولمعاملة الشباب الحلوة مع كل الزباين وافضل وجبة كرسبي بدوقها عندون بكل بيروت والبرغر طبعا يلي مابتتفوت عندون ❤❤❤	5
مطعم رائع واكل اكتر من طيب و ابو وسيم والشباب ما بيقصرو الله يعطيون العافية وما بعتقد في شي اطيب من الشاورما تبع عمي ابو وسيم واكيد بنصح الكل انو يجربو وان شاء الله بالتوفيق والاستمرار يارب	5
الموظفة الموجودة على الصندوق بتاريخ ٧/٩/٢٠١٨ الساعة ١٧.٠٠ غير لائقة وتتحدث بطريقة مقززة مع الزبائن وكأنها تعمل غصبا عنها في المطعم..........	1
كل طيب	5
جيد	4
شاورما طيبة و خدمة ممتازة و مكان مريح😍😍	5
هاد المكان المناسب لكل شخص و الاكل ولا اروع من هيك 😍	5
كل طيب	5
جيد	4
اجواء جديدة	5
I was poisonned!!!! ( dahye branch ) NOT RECOMMENDED طلبت سندويش شاورما دجاج عالبيت و كانت كتير طيبة لدرجة حسيت حالي بالجنة بس بعد شي ساعتين صرت بجهنم و كأني اكلت التفاحة اللي الله قلو لآدم لا تقربها !!! تسممت و لو ما لحقت حالي بدوا قوي كتير كنت فتت مستشفى من الوجع اللي صابني !!! اخر مرة بطلب من عندكن ! مع انو اخواتي دايما بيطلبو  و الحمدلله ما بيصرلن شي يمكن صار عندن مناعة ! I ordered a chicken shawarma sandwich from the dahye branch i was so satifstied that it came fast it was very delicious BUT ! 2 hours later ( aprox) i started to feel VERY BAD STOMACHACHE and it was getting worse i started swetting and lost my power but i took a very strong medicine and everything was okay later !	1
اطيب لقمة و اطيب اكل و نظافة و ترتيب و استقبال رائع و خدمة سريعة تعدد في الاطباق و الخلطات و الطعمات و السندويشات منظر اكل بشهي بنصح الكل يجرب ما بيندم	5
NEW BURGER! So delicious! Its a must try!!  Really a nice idea for falafel abou nabil! Its recommended ولا اطيب من هيك فلافل ابو نبيل هو الافضل على طول😍😍	5
أطيب فلافل لازم تجربوا متل شغل البيت و نظيف جدا!!!!  و حتى بيوصل عالبيت بسرعة و سخنين!  و الخضرا طازة و كتير كريمين كانك عّم تاكل تنين بدل واحد!	5
Very clean and calm and veryyyyyy delecious plat du jour. كل يوم بقدموا 3 طبق رئيسيه .منظر شهي ونظافه كامله وطعمه رائعه. Tres deicieux.......	5
Very bad place, while it looks nice! service is not good at all, the most horible see food soup is served in that place, waiters are not paying attention, expensive! I informed the waiters that I don't like thr food, they didn't take any action! I asked to meet with the manager, tgey refused!! Generally not recommended at all! المطعم غير جيد بالمرة.. لديهم أسوأ شوربة ثمار البحر على الإطلاق . خدمة العملاء سيئة جداً.. أبلغتهم بأن الطعام لم يعجبني فلم يكن لهم أي رد فعل.. طلبت مقابلة المدير رفضوا!! بالإضافة لأن المطعم غالي بلا مبرر!	1
مطعم شعبي ممتاز وخدمة دليفري سريعة لكن احيانا يتم نسيان الكثير من الطلابية.. المشاوي في المطعم متميزة واللحم لذيذ و طازج والسناك منوع ارجو لكم الاستمرار	3
الموقع جيد و ما عدا ذلك لا انصح بارتياده .اسعار مرتفعة جدا و نوعية الطعام عادية.المكان غير مريح على الإطلاق.الطاولات متلاصقة بشكل مزعج و كان المطلوب استقبال اكبر عدد عَل حساب راحة الزبائن و نوعية الخدمة	1
اطيب فروج مشوي وبطاطا مقلية واطباق متل الكريسبي والكبيس كله طيب ونظيف ومستوي عند ابو عصام... الله يعطيكم العافية وان شاء الله عطول بتبقى لقمتكم طيبة✌🏻	5
أطيب سندويش دقتو والله بس بليز ما تشيلو كومنت في كذا رأي لازم تحترمو رأي الاخر في ناس بتحب سندويشات في ناس لق اكل أذوق انتو أشخاص بتحترمو رأي الاخر مش هيك	5
لقد طلبت ابنتي من عندكم وجبه غداء شاورما تركيه ولقد تسممت واصابتها حاله من الاستفراغ والاسهال الشديد ولا انصح احد ان ياكل من عندكم يعني متل ما بقولو كول وموت	1
سيء جدا أكلنا من عندو اول يوم العيد سوده و تسممنا و كلنا بالمستشفى 3 أشخاص مع العلم انو كان جيد . و تقدمنا بشكوى لوزارة الصحة. .............	1
بيستاهل اكتر من خمس نجوم - نظافه +طعمه ولا اروع+اهتمام بالزبون_ سرعه بالتوصيل _ الكل لازم يزور الباش طاووق ويجرب اطيب طعم والذ اكل عالفحم . تحياتي للقائمين عليه	5
مطعم برج السمك هو من المطاعم المتخصصة بالسمك و لكن دون ميالغة في الاسعار. هناك دوما سمك طازج و قريدس. الاكل جيد و السمك طازج و كذلك منظر البحر رائع. ما ينقصه حتى يكون افضل هو الخدمة. فالاشخاص العاملين ليسوا محترفين و طريقة تقديم الطعام تفتقد الى الذوق. و لكن اذا كان ما يهمك اساسا ان يكون السمك طازج و شهي و السعر اكثر من معتدل فهذا المطعم هو حتما من افضل مطاعم السمك في لبنان و من ارخصها سعرا.	4
المياه مقطوعه من مده طويله بسب تصليح قسطل خارج الضاحيه .والاهلي في شارع حسين علي ناصر في السوق التجاري اي شارع الذي تعرض سابقآ للتفجير التكفيري. نرجو عدم التنكيل بقطع المياه اكثر. لاسيما وقد علمت البارحه ان المياه اعطيت لشارع مدرسة الرمل الموصل للتحويطه. فنرجو العمل من اصحاب المسؤليه على ذالك وشكرآ سلفآ	3
ممتاز	5
عادية إذ كانت قصيرة ومقتصرة على تعبئة الوقود ومتابعة الطريق	3
مارحت عل هذا لمكان بس شكل حلو	5
كتير منيح	5
كتيررررررررر حلوووووووو والاكل طيب كتيررررررر😘😘😘😘😘😘😘	5
جيد من خدمة واكل طيب	5
مكان رائع	5
نعم	5
لا بأس فيه	3
رائعه	3
جيد جدا	5
احب ذالك	5
ممتاز	5
رائع	5
خدمه جيده	4
نعم	5
لا بأس فيه	3
روووعة	5
جيد	3
لذيذ	5
اكتبو رقم المطعم والعنوان	5
لابأس	3
جميل	5
جيد	5
ازدحام	2
يقدم كل انواع المخبوزات الطازجة كعك خبز افرنجي… 	5
يا رب 	5
واو	5
انا فيا للمدرسة	5
جيدة	5
كثير منيح	5
احب ذلك	5
جيد	2
حلوووو	1
عاطل	1
مكان هادئ	5
اهلا وسهلا بكافيه ابو علي فقيه	5
انه مدرسة جميلة وانا فيه	5
احلا مدرسة	5
حلو	5
جميل لكن يحتاج إلى إعادة تأهيل	4
أنا لا أكره هذا المكان	1
ليسن فيها اهتمام كثير	1
مستوصف وصيدلية خدمة طبية جميع الأوقات والاختصاصات خدمة جيدة عناية واسعار رمزية	5
عيادة كلينك وصيدليه مشهوره يعتبر مستوصف مهم لسكان منطقه المعموره ونواحيها يضم عدد من الاطباء في شتى الاختصاصات زيقدم خدمات كثيره عوضا عن المستشفيات نظرا لغلاء الاسعار	5
محطة وقود جيدة	4
حلو	5
حتى انتو عندكن وسايط الله يعينو السيد بس	1
منطقه من مناطق الضاحيه	3
مش بطالة	5
محطة وقود جيدة	4
حلو	5
شي بيشبه المحطه	2
مجموعة مطاعم لجميع الاكلات متميز في عمله 	4
محطه صغيره قديمه كتير	4
جيد	4
منطقة متوفر فيها بعض المحلات التي يحتاجها المواطن	3
انه الشارع الذي اسكن فيه منذ ثلاثين عام 	5
حارة حريك	5
ان عشت فيه طفولتي 	5
المعموره شارع سعاده	5
بعدني مشترك وما عرفنا خيرو من شرو	3
روووووووعه	2
ما في ابشع من هيك 	2
مطعم رائع ، وخصوصاً اكل المالح ! جربو البيزا	5
مطعم وجبات سريعه 	3
شكرا على أسعار التجوال	5
المكان حميم ذو طابع لطيف جدا يحتوي على مكتبة في الدور العلوي لديه جلسات خارجية مطعم شعبي بسيط اسعاره مقبولة نفس اسعار مطاعم الحمراء الاكل لذيذ	3
مطعم ومقهى رائع لديه وجبات لذيذة وأسعار معتدلة ولديه مكتبة للقراء في الدور الثاني كل الحب والاحترام للمطعم وطاقمه الجميل	5
مطعم له جو جميل وديكور رائع وطاقم ودود وسعر مناسب	5
اكلهم حلو بس الخدمة سيئه	3
مطعم محترم جدا والعمالة الي موجودة خدومة بجانب طبعا ان طعم الاكل كويس جدا	5
طعام جيد ومكان جميل	3
احضر لهذا المكان الجميل في كل زياراتي لبيروت .. الطعام لذيذ والمضيفين صبايا وشباب غاية اللطافة ❤️	5
قعدة حلوة وأكل طيب على موسيقى وطرب تراثي رائع .. هناك قاعة جلوس ومكتبة للقراءة والندوات واللقاءآت الثقافية	4
من اجمل كافيهات بيروت روح المكان فكرتنى بقهاوى وسط البلد فى القاهرة	5
جوو كاجول لامحادثه واخبار الاصحاب	5
مطعم ممتاز	5
للطعام نكهته هنا	4
انها تجربة رائعة	5
 جيّد جدّاً!	4
جميل وهادي بس الخدمه بطيه	3
رحلة.... لخلق تجارب مبهر	3
المطعم يقدم الماكولات البحريه ولكن الاسعار خياليه ومبالغ فيها لم يعجبني الاكل	2
موقعه الزيتونه بيه وخالي عن التعريف	5
مطعم اكل اسماك لذيذ	5
المطعم يقدم اكلات بحريه ومره لذيذ بس غالي 	5
ديكور جميل الخدمة بطيئة نوعا ما في البداية والاسعار مبالغ فيها	3
رائعة	4
غالي شوي ولكن طعامه شهي ولذيذ	4
مطعم لابأس به يقدم معجنات ولفائف جيدة	4
انيق و نظيف و لذيذ	4
رائع روعة كل شي في شارع بدارو😍	4
ديكور مميز وغريب والاكل لذيذ جدا	5
أكل طيب ... وخدمة ممتازة ... بأسعار جيدة	5
خدمه ممتازه وأكل لذيذ ... النقطه السلبيه هو مدخني الاراكيل والسكاير المزعجين ...حبذا لو لايسمح للمدخن التدخين داخل القاعه...وشمرا	2
أكل طيب ... وخدمة ممتازة ... بأسعار جيدة	5
الطعام المقلي سيء جداً وطعمة الزيت 😣😣😣 ولكن السمك المشوي كان رائع والفتوش لا بأس به ولكن يجب التحسين اكثر	2
جميل جدا	4
مطعم جيد جدا... الأكل درجة أولى و التنظيم عالي المستوى أنصح تجربته .	4
مطعم رائع	5
اطيب شاورما وافضل خدمة	5
جيد	5
خدمه جيده	5
الطعام المقلي سيء جداً وطعمة الزيت 😣😣😣 ولكن السمك المشوي كان رائع والفتوش لا بأس به ولكن يجب التحسين اكثر	2
بيتزا ذات الطعم الرائع	5
هادئ ورمنسي ويشعرك بالدفئ ويقدم افضل انواع الطعام والذها 	5
رائع	5
هزا المكان يعرض جميع الاكلات البحريه على الطريقه الفرنسيه مطعم مشهور بتاريخه الطويل فى هزا المجال	5
مطعم اطيب شي لديه الفروج على الفحم ممتاز	3
ولا اطيب	5
جيد ولكن المنطقة التي يركن بها المنطقة ليست جيدة 	3
لقمة طيبة واكسترا	5
احلا مطعم	5
اكله جيد	3
اكلت	5
جيدة	5
اطيب اكل لبناني مميز جدا .. شهي ونظيف وموظفين لطفاء وذوي خبرة .	5
ممتازة	5
خدمة سريعة جدا وقمة الهدوؤ	4
اطعمة شهية ويتمتع بشروط النظافة والصحة	5
نادي رياضي رائع 😎	4
جيد جدا مقبول بس يرجى الاهتمام اكثر	3
مطعم نظيف واكل طيب وخدمه ممتازه	4
مطعم راقي ويوجد فيه حمام ساونا شي جميل	5
الطعام عشرة على عشرة	3
مقهي ...وحمام تركي ...ومطعم ..جيد جدا ...الخدمه ممتازه ..الأسعار مناسبه 	4
شي ولا غي خيال .... نادي رياضي ..... مقهى...الخ	5
حمام شعبي جميل	5
ممتاز	5
ممتاز	5
رائع 	5
ممتار	5
عادي 	1
مميز للقاية 	5
مميز 	5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍آحۣۗہلَآآآآآ مۣۗہطۣۗہعۣۗہمۣۗہمۣۗہمۣۗہمۣۗہمۣۗہمۣۗہمۣۗہمۣۗہ	5
ررائع	5
اكلوا بيجنن ونضيف وانا واصحابي منموت بلألفريدو عندو وكل الموظفين بيعقدو	5
مطعم للوجبات السريعة .. نظيف ممتاز يخاف الله في العمل .. ويرضي الزبون قبل ارضاء 	5
 اطيب وانضف سناك بطريق الجديدة	4
لقمة طيبه اسعار جيدة بس ما في مطرح دايما للصفة ..وفي ضغط اخر الاسبوع	4
اكل جيد جدا	5
جيد جدا مطعم الصوصة جماعة أوادم يخافون الله	5
قسم المخبز و الحلويات ممتاز جدا و ينافس اهم المحلات خصوصا في الcake على جميع انواعه	5
ما كتير طيب	3
العمالة اللبنانية منقرضة و الشاورما غير ناضجة و الخدمة صفر	2
لا باس	3
ممتاز	5
كتبر اكل الصوصة طيب وان شاء الله يضل اكلهون اطيب من اكل المطاعم والقعدات حلوي برا وجوا انصحكون تكلو منو الي ما اكل منو والله الله يحميهون يارب وان شاء الله يكسرو كل المطاعم بأكلهن الطيب يارب وانا رح كون معهن ورح ادعمهن بالتعليقات ان شاء الله 	5
جيد جدآ	5
انا بحبو لدرجة اني بتمنى كون انا صاحبت المحل لحتا كل يوم اكول من عندو	5
لا تعليق	2
سعر مقبول واكل طيب	5
احلا مطعم بطريق الجديده وحتى ببيروت 	5
مهند جحجاح	5
طعم رائع	5
والكلاسيكية يحتاج إلى حجز فهو مزدحم	3
الاكل لذيذ جدا لكن الاسعار مرتفعه	4
لذيذ، جلساته لطيفه، يوجد اوت دور، يفضل غداء، و يفضل الحجز	5
مطعم مميز تشكيله رائعه من الأصناف والأرغيله	5
الجرسونات بحاجة للمزيد من التدريب للتعامل مع الزبائن	5
مكان عادي جدا	1
زحمه مررره والجلسه جواء مره كتمه برى حلوه الاكل جيد جد	4
جيد	4
السويت لذيذ	4
قصة كبيرة	4
في العطل لازم تتصل فيهم للحجز	4
مايقال عنه اكثر من ما يستحق	3
جيد جدا	5
الإفطار كان رائعا .. المناقيش والبيض بالجبن .	5
ارنون	5
من افضل المطاعم ببيروت	5
احلى من ام شريف المطعم	5
مطعم راقي 	5
ولا اطيب	5
حلويات ليست بلجودة ويجود شوفت حال 	1
أطيب أنواع الكيك والشوكولا والحلويات والبوظة مكان مفضل عندي ومميز	5
الطعمه مقبولا ولكن السعر يا يستاهل البضاعه يعني السعر غالي	3
احب ذلك	5
